指数,年月,地域,カテゴリ,数値,単位
指数,1987年2月,全国,0166 持家の帰属家賃及び生鮮食品を除く総合,85.2,
指数,1987年2月,全国,0167 エネルギー,83.8,
指数,1987年2月,全国,0178 生鮮食品及びエネルギーを除く総合,85.1,
指数,1987年2月,全国,0168 食料（酒類を除く）及びエネルギーを除く総合,87.3,
指数,1987年2月,全国,0162 教育関係費,70.7,
指数,1987年2月,全国,0173 教養娯楽関係費,99.3,
指数,1987年2月,全国,0201 総合,83.6,
指数,1987年2月,全国,0202 財,88.8,
指数,1987年2月,全国,0241 生鮮食品を除く財,91.9,
指数,1987年2月,全国,0203 農水畜産物,70.2,
指数,1987年2月,全国,0204 生鮮商品,64.8,
指数,1987年2月,全国,0205 他の農水畜産物,113,
指数,1987年2月,全国,0206 米類,115.4,
指数,1987年2月,全国,0207 工業製品,95.9,
指数,1987年2月,全国,0208 食料工業製品,80.7,
指数,1987年2月,全国,0211 繊維製品,83.1,
指数,1987年2月,全国,0214 石油製品,72.8,
指数,1987年2月,全国,0215 他の工業製品,134.9,
指数,1987年2月,全国,0218 電気・都市ガス・水道,88.7,
指数,1987年2月,全国,0219 出版物,61.5,
指数,1987年2月,全国,0220 サービス,77.5,
指数,1987年2月,全国,0242 持家の帰属家賃を除くサービス,76.5,
指数,1987年2月,全国,0221 公共サービス,84.1,
指数,1987年2月,全国,0222 公営・都市再生機構・公社家賃,75.3,
指数,1987年2月,全国,0223 家事関連サービス,76.1,
指数,1987年2月,全国,0224 医療・福祉関連サービス,68.6,
指数,1987年2月,全国,0225 運輸・通信関連サービス,87.8,
指数,1987年2月,全国,0226 教育関連サービス,356.3,
指数,1987年2月,全国,0227 教養娯楽関連サービス,73.9,
指数,1987年2月,全国,0228 一般サービス,75.3,
指数,1987年2月,全国,0229 外食,72.2,
指数,1987年2月,全国,0230 民営家賃,85.4,
指数,1987年2月,全国,0231 持家の帰属家賃,79.2,
指数,1987年2月,全国,0232 他のサービス,70.4,
指数,1987年2月,全国,0233 家事関連サービス,68.6,
指数,1987年2月,全国,0234 医療・福祉関連サービス,47,
指数,1987年2月,全国,0235 教育関連サービス,58.9,
指数,1987年2月,全国,0236 通信・教養娯楽関連サービス,82.7,
指数,1987年2月,全国,0237 耐久消費財,237.8,
指数,1987年2月,全国,0238 半耐久消費財,81.7,
指数,1987年2月,全国,0239 非耐久消費財,79.1,
指数,1987年2月,全国,0240 公共料金,84.6,
前月比・前年比・前年度比,1987年2月,全国,0001 総合,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0002 食料,-0.3,%
前月比・前年比・前年度比,1987年2月,全国,0003 穀類,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0004 米類,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1001 うるち米Ａ,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1002 うるち米Ｂ,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0005 パン,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1021 食パン,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1022 あんパン,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0006 麺類,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1031 ゆでうどん,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1041 そうめん,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1042 スパゲッティ,0.2,%
前月比・前年比・前年度比,1987年2月,全国,1051 カップ麺,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,1052 中華麺,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,0007 他の穀類,0.3,%
前月比・前年比・前年度比,1987年2月,全国,1071 小麦粉,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1081 もち,0.3,%
前月比・前年比・前年度比,1987年2月,全国,0008 魚介類,-1.1,%
前月比・前年比・前年度比,1987年2月,全国,0009 生鮮魚介,-1.8,%
前月比・前年比・前年度比,1987年2月,全国,1101 まぐろ,-1.3,%
前月比・前年比・前年度比,1987年2月,全国,1102 あじ,-3.8,%
前月比・前年比・前年度比,1987年2月,全国,1103 いわし,-3.6,%
前月比・前年比・前年度比,1987年2月,全国,1106 さけ,0.3,%
前月比・前年比・前年度比,1987年2月,全国,1107 さば,-0.5,%
前月比・前年比・前年度比,1987年2月,全国,1108 さんま,-3.3,%
前月比・前年比・前年度比,1987年2月,全国,1110 たい,-1.6,%
前月比・前年比・前年度比,1987年2月,全国,1111 ぶり,-3.5,%
前月比・前年比・前年度比,1987年2月,全国,1112 いか,0.5,%
前月比・前年比・前年度比,1987年2月,全国,1113 たこ,-0.7,%
前月比・前年比・前年度比,1987年2月,全国,1114 えび,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1131 あさり,-0.7,%
前月比・前年比・前年度比,1987年2月,全国,1132 かき（貝）,-14.6,%
前月比・前年比・前年度比,1987年2月,全国,1133 ほたて貝,-5.5,%
前月比・前年比・前年度比,1987年2月,全国,0010 塩干魚介,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,1141 塩さけ,-0.4,%
前月比・前年比・前年度比,1987年2月,全国,1142 たらこ,-0.5,%
前月比・前年比・前年度比,1987年2月,全国,1143 しらす干し,1.6,%
前月比・前年比・前年度比,1987年2月,全国,1144 干しあじ,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1146 煮干し,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0011 魚肉練製品,0.2,%
前月比・前年比・前年度比,1987年2月,全国,1151 揚げかまぼこ,0.4,%
前月比・前年比・前年度比,1987年2月,全国,1152 ちくわ,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,1153 かまぼこ,0.3,%
前月比・前年比・前年度比,1987年2月,全国,0012 他の魚介加工品,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,1161 かつお節,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1173 魚介缶詰,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,0013 肉類,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,0014 生鮮肉,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,1201 牛肉（国産品）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1203 牛肉（輸入品）,-1.3,%
前月比・前年比・前年度比,1987年2月,全国,1211 豚肉（国産品）,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,1221 鶏肉,-0.5,%
前月比・前年比・前年度比,1987年2月,全国,0015 加工肉,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,1252 ハム,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,1261 ソーセージ,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1271 ベーコン,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,0016 乳卵類,-0.7,%
前月比・前年比・前年度比,1987年2月,全国,0017 牛乳・乳製品,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0018 牛乳,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,1303 牛乳,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,0019 乳製品,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1311 粉ミルク,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,1333 ヨーグルト,0.4,%
前月比・前年比・前年度比,1987年2月,全国,1321 バター,0.9,%
前月比・前年比・前年度比,1987年2月,全国,1331 チーズ（国産品）,-0.6,%
前月比・前年比・前年度比,1987年2月,全国,0020 卵,-2.5,%
前月比・前年比・前年度比,1987年2月,全国,1341 鶏卵,-2.5,%
前月比・前年比・前年度比,1987年2月,全国,0021 野菜・海藻,-1.7,%
前月比・前年比・前年度比,1987年2月,全国,0022 生鮮野菜,-2.7,%
前月比・前年比・前年度比,1987年2月,全国,1401 キャベツ,-15.7,%
前月比・前年比・前年度比,1987年2月,全国,1402 ほうれんそう,-17.0,%
前月比・前年比・前年度比,1987年2月,全国,1403 はくさい,-4.7,%
前月比・前年比・前年度比,1987年2月,全国,1405 ねぎ,-16.7,%
前月比・前年比・前年度比,1987年2月,全国,1406 レタス,7.4,%
前月比・前年比・前年度比,1987年2月,全国,1407 もやし,0.3,%
前月比・前年比・前年度比,1987年2月,全国,1411 さつまいも,-2.2,%
前月比・前年比・前年度比,1987年2月,全国,1412 じゃがいも,-1.3,%
前月比・前年比・前年度比,1987年2月,全国,1413 さといも,-4.1,%
前月比・前年比・前年度比,1987年2月,全国,1414 だいこん,-8.3,%
前月比・前年比・前年度比,1987年2月,全国,1415 にんじん,-8.9,%
前月比・前年比・前年度比,1987年2月,全国,1416 ごぼう,-1.7,%
前月比・前年比・前年度比,1987年2月,全国,1417 たまねぎ,3.6,%
前月比・前年比・前年度比,1987年2月,全国,1419 れんこん,-2.8,%
前月比・前年比・前年度比,1987年2月,全国,1420 ながいも,-1.8,%
前月比・前年比・前年度比,1987年2月,全国,1432 さやいんげん,20.1,%
前月比・前年比・前年度比,1987年2月,全国,1433 かぼちゃ,4.7,%
前月比・前年比・前年度比,1987年2月,全国,1434 きゅうり,-1.6,%
前月比・前年比・前年度比,1987年2月,全国,1435 なす,5.6,%
前月比・前年比・前年度比,1987年2月,全国,1436 トマト,1.2,%
前月比・前年比・前年度比,1987年2月,全国,1437 ピーマン,24.8,%
前月比・前年比・前年度比,1987年2月,全国,1438 生しいたけ,-9.1,%
前月比・前年比・前年度比,1987年2月,全国,0023 乾物・加工品類,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0024 乾物・海藻,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,1453 干ししいたけ,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,1461 干しのり,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1462 わかめ,-0.7,%
前月比・前年比・前年度比,1987年2月,全国,1463 こんぶ,0.1,%
前月比・前年比・前年度比,1987年2月,全国,0025 大豆加工品,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1471 豆腐,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1472 油揚げ,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,1473 納豆,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0026 他の野菜・海藻加工品,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1481 こんにゃく,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,1482 梅干し,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,1483 だいこん漬,0.7,%
前月比・前年比・前年度比,1987年2月,全国,1485 こんぶつくだ煮,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1491 野菜缶詰,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,0027 果物,0.8,%
前月比・前年比・前年度比,1987年2月,全国,0028 生鮮果物,0.9,%
前月比・前年比・前年度比,1987年2月,全国,1502 りんご,-1.5,%
前月比・前年比・前年度比,1987年2月,全国,1511 みかん,0.4,%
前月比・前年比・前年度比,1987年2月,全国,1515 オレンジ,0.4,%
前月比・前年比・前年度比,1987年2月,全国,1571 いちご,-5.8,%
前月比・前年比・前年度比,1987年2月,全国,1581 バナナ,4.5,%
前月比・前年比・前年度比,1987年2月,全国,0029 果物加工品,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,0030 油脂・調味料,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,0031 油脂,-0.7,%
前月比・前年比・前年度比,1987年2月,全国,1601 食用油,-0.5,%
前月比・前年比・前年度比,1987年2月,全国,1602 マーガリン,-0.8,%
前月比・前年比・前年度比,1987年2月,全国,0032 調味料,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1611 食塩,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1621 しょう油,0.2,%
前月比・前年比・前年度比,1987年2月,全国,1631 みそ,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,1632 砂糖,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,1633 酢,-0.5,%
前月比・前年比・前年度比,1987年2月,全国,1641 ソース,-0.5,%
前月比・前年比・前年度比,1987年2月,全国,1642 ケチャップ,-0.3,%
前月比・前年比・前年度比,1987年2月,全国,1643 マヨネーズ,0.5,%
前月比・前年比・前年度比,1987年2月,全国,1652 カレールウ,-0.4,%
前月比・前年比・前年度比,1987年2月,全国,1653 乾燥スープ,0.6,%
前月比・前年比・前年度比,1987年2月,全国,1654 風味調味料,0.7,%
前月比・前年比・前年度比,1987年2月,全国,1656 ふりかけ,-0.4,%
前月比・前年比・前年度比,1987年2月,全国,1655 たれ,-0.8,%
前月比・前年比・前年度比,1987年2月,全国,0033 菓子類,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1701 ようかん,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1702 まんじゅう,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1711 カステラ,0.2,%
前月比・前年比・前年度比,1987年2月,全国,1712 ケーキ,0.7,%
前月比・前年比・前年度比,1987年2月,全国,1714 プリン,-1.5,%
前月比・前年比・前年度比,1987年2月,全国,1713 シュークリーム,-0.3,%
前月比・前年比・前年度比,1987年2月,全国,1741 せんべい,-0.3,%
前月比・前年比・前年度比,1987年2月,全国,1721 ビスケット,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1783 ポテトチップス,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1732 キャンデー,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1761 チョコレート,-0.4,%
前月比・前年比・前年度比,1987年2月,全国,1782 アイスクリーム,0.3,%
前月比・前年比・前年度比,1987年2月,全国,1772 落花生,0.2,%
前月比・前年比・前年度比,1987年2月,全国,1781 チューインガム,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0034 調理食品,0.1,%
前月比・前年比・前年度比,1987年2月,全国,0035 主食的調理食品,0.3,%
前月比・前年比・前年度比,1987年2月,全国,1791 弁当Ａ,0.3,%
前月比・前年比・前年度比,1987年2月,全国,0036 他の調理食品,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1801 うなぎかば焼き,0.4,%
前月比・前年比・前年度比,1987年2月,全国,1811 サラダ,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,1821 コロッケ,0.3,%
前月比・前年比・前年度比,1987年2月,全国,1831 豚カツ,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1881 ぎょうざ,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1851 冷凍調理コロッケ,0.2,%
前月比・前年比・前年度比,1987年2月,全国,1871 調理カレー,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0037 飲料,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0038 茶類,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,1902 緑茶,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1911 紅茶,-1.3,%
前月比・前年比・前年度比,1987年2月,全国,0039 コーヒー・ココア,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1921 インスタントコーヒー,0.1,%
前月比・前年比・前年度比,1987年2月,全国,1922 コーヒー豆,0.1,%
前月比・前年比・前年度比,1987年2月,全国,0040 他の飲料,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1931 果汁入り飲料,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1941 野菜ジュース,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1951 炭酸飲料,0.0,%
前月比・前年比・前年度比,1987年2月,全国,1972 乳酸菌飲料,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0041 酒類,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2003 清酒,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2011 焼酎,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2021 ビール,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2033 ウイスキー,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2041 ワイン（国産品）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0042 外食,0.1,%
前月比・前年比・前年度比,1987年2月,全国,0043 一般外食,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2101 うどん（外食）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2102 中華そば（外食）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2112 スパゲッティ（外食）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2121 すし（外食）Ｂ,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2132 天丼（外食）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2133 カレーライス（外食）,0.1,%
前月比・前年比・前年度比,1987年2月,全国,2142 豚カツ定食（外食）,0.1,%
前月比・前年比・前年度比,1987年2月,全国,2141 ハンバーグ（外食）,0.1,%
前月比・前年比・前年度比,1987年2月,全国,2161 サンドイッチ（外食）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2162 コーヒー（外食）Ａ,0.1,%
前月比・前年比・前年度比,1987年2月,全国,2171 ビール（外食）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0044 学校給食,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2182 学校給食（小学校）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,2183 学校給食（中学校）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0045 住居,0.3,%
前月比・前年比・前年度比,1987年2月,全国,0046 家賃,0.3,%
前月比・前年比・前年度比,1987年2月,全国,0047 民営家賃,0.3,%
前月比・前年比・前年度比,1987年2月,全国,3000 民営家賃,0.3,%
前月比・前年比・前年度比,1987年2月,全国,0048 公営・都市再生機構・公社家賃,0.0,%
前月比・前年比・前年度比,1987年2月,全国,3016 公営家賃,0.0,%
前月比・前年比・前年度比,1987年2月,全国,3017 都市再生機構・公社家賃,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0050 持家の帰属家賃,0.2,%
前月比・前年比・前年度比,1987年2月,全国,3030 持家の帰属家賃,0.2,%
前月比・前年比・前年度比,1987年2月,全国,0051 設備修繕・維持,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0052 設備材料,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,3101 システムバス,0.0,%
前月比・前年比・前年度比,1987年2月,全国,3121 修繕材料,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0053 工事その他のサービス,0.0,%
前月比・前年比・前年度比,1987年2月,全国,3151 畳替え代,0.0,%
前月比・前年比・前年度比,1987年2月,全国,3176 水道工事費,0.0,%
前月比・前年比・前年度比,1987年2月,全国,3175 塀工事費,0.2,%
前月比・前年比・前年度比,1987年2月,全国,3174 植木職手間代,0.0,%
前月比・前年比・前年度比,1987年2月,全国,3171 ふすま張替費,0.0,%
前月比・前年比・前年度比,1987年2月,全国,3172 大工手間代,0.3,%
前月比・前年比・前年度比,1987年2月,全国,3180 火災・地震保険料,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,0054 光熱・水道,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,0056 電気代,0.0,%
前月比・前年比・前年度比,1987年2月,全国,3500 電気代,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0057 ガス代,-1.2,%
前月比・前年比・前年度比,1987年2月,全国,3600 都市ガス代,-1.1,%
前月比・前年比・前年度比,1987年2月,全国,3612 プロパンガス,-1.4,%
前月比・前年比・前年度比,1987年2月,全国,0058 他の光熱,3.0,%
前月比・前年比・前年度比,1987年2月,全国,3701 灯油,3.1,%
前月比・前年比・前年度比,1987年2月,全国,0059 上下水道料,0.0,%
前月比・前年比・前年度比,1987年2月,全国,3810 水道料,0.0,%
前月比・前年比・前年度比,1987年2月,全国,4610 下水道料,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0060 家具・家事用品,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,0061 家庭用耐久財,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,0062 家事用耐久財,-0.3,%
前月比・前年比・前年度比,1987年2月,全国,4003 電子レンジ,-0.7,%
前月比・前年比・前年度比,1987年2月,全国,4002 電気炊飯器,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,4011 ガステーブル,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,4021 電気冷蔵庫,-0.5,%
前月比・前年比・前年度比,1987年2月,全国,4032 電気掃除機,0.0,%
前月比・前年比・前年度比,1987年2月,全国,4042 電気洗濯機（全自動洗濯機）,-0.8,%
前月比・前年比・前年度比,1987年2月,全国,0063 冷暖房用器具,-0.6,%
前月比・前年比・前年度比,1987年2月,全国,4063 ルームエアコン,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,4072 温風ヒーター,-1.7,%
前月比・前年比・前年度比,1987年2月,全国,0064 一般家具,0.2,%
前月比・前年比・前年度比,1987年2月,全国,4092 食堂セット,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0066 室内装備品,0.2,%
前月比・前年比・前年度比,1987年2月,全国,4121 カーペット,0.5,%
前月比・前年比・前年度比,1987年2月,全国,4141 カーテン,0.1,%
前月比・前年比・前年度比,1987年2月,全国,0070 寝具類,-0.9,%
前月比・前年比・前年度比,1987年2月,全国,4201 ベッド,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,4211 布団,-0.8,%
前月比・前年比・前年度比,1987年2月,全国,4251 敷布,0.1,%
前月比・前年比・前年度比,1987年2月,全国,4271 布団カバー,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,0073 家事雑貨,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0074 食器類,0.0,%
前月比・前年比・前年度比,1987年2月,全国,4301 茶わん,0.1,%
前月比・前年比・前年度比,1987年2月,全国,4302 皿,0.1,%
前月比・前年比・前年度比,1987年2月,全国,0075 台所用品,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,4331 鍋,0.0,%
前月比・前年比・前年度比,1987年2月,全国,4342 スポンジたわし,-0.3,%
前月比・前年比・前年度比,1987年2月,全国,0076 他の家事雑貨,-0.2,%
前月比・前年比・前年度比,1987年2月,全国,4352 電球・ランプ,0.2,%
前月比・前年比・前年度比,1987年2月,全国,4361 タオル,-1.0,%
前月比・前年比・前年度比,1987年2月,全国,0077 家事用消耗品,0.1,%
前月比・前年比・前年度比,1987年2月,全国,0078 ティシュ・トイレットペーパー,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,4412 ティシュペーパー,-0.4,%
前月比・前年比・前年度比,1987年2月,全国,4413 トイレットペーパー,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0079 洗剤,0.0,%
前月比・前年比・前年度比,1987年2月,全国,4431 台所用洗剤,0.0,%
前月比・前年比・前年度比,1987年2月,全国,4441 洗濯用洗剤,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0080 他の家事用消耗品,0.5,%
前月比・前年比・前年度比,1987年2月,全国,4401 ラップ,1.6,%
前月比・前年比・前年度比,1987年2月,全国,4451 殺虫剤,0.2,%
前月比・前年比・前年度比,1987年2月,全国,4442 柔軟仕上剤,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0081 家事サービス,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0174 家事代行料,0.0,%
前月比・前年比・前年度比,1987年2月,全国,4501 家事代行料,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0175 清掃代,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0082 被服及び履物,-1.1,%
前月比・前年比・前年度比,1987年2月,全国,0083 衣料,-1.5,%
前月比・前年比・前年度比,1987年2月,全国,0084 和服,0.2,%
前月比・前年比・前年度比,1987年2月,全国,5011 婦人用着物,0.4,%
前月比・前年比・前年度比,1987年2月,全国,5041 婦人用帯,0.3,%
前月比・前年比・前年度比,1987年2月,全国,0085 洋服,-1.8,%
前月比・前年比・前年度比,1987年2月,全国,0086 男子用洋服,-3.4,%
前月比・前年比・前年度比,1987年2月,全国,5101 背広服（春夏物，中級品）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,5102 背広服（秋冬物，中級品）,-6.1,%
前月比・前年比・前年度比,1987年2月,全国,5111 男子用上着,-6.9,%
前月比・前年比・前年度比,1987年2月,全国,5122 男子用ズボン（春夏物）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,5121 男子用ズボン（秋冬物）,-5.4,%
前月比・前年比・前年度比,1987年2月,全国,5123 男子用ズボン（ジーンズ）,0.1,%
前月比・前年比・前年度比,1987年2月,全国,5131 男子用コート,-5.8,%
前月比・前年比・前年度比,1987年2月,全国,5141 男子用学校制服,1.0,%
前月比・前年比・前年度比,1987年2月,全国,0087 婦人用洋服,-0.8,%
前月比・前年比・前年度比,1987年2月,全国,5166 婦人用スーツ（春夏物，中級品）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,5162 婦人用スーツ（秋冬物，中級品）,-9.3,%
前月比・前年比・前年度比,1987年2月,全国,5161 ワンピース（春夏物）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,5163 ワンピース（秋冬物）,1.0,%
前月比・前年比・前年度比,1987年2月,全国,5183 婦人用上着,-3.2,%
前月比・前年比・前年度比,1987年2月,全国,5169 スカート（春夏物）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,5172 スカート（秋冬物）,-10.9,%
前月比・前年比・前年度比,1987年2月,全国,5181 婦人用スラックス（秋冬物）,-10.1,%
前月比・前年比・前年度比,1987年2月,全国,5179 婦人用スラックス（ジーンズ）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,5182 婦人用コート,-11.1,%
前月比・前年比・前年度比,1987年2月,全国,5184 女子用学校制服,0.9,%
前月比・前年比・前年度比,1987年2月,全国,0088 子供用洋服,-2.1,%
前月比・前年比・前年度比,1987年2月,全国,5193 乳児服,0.1,%
前月比・前年比・前年度比,1987年2月,全国,0089 シャツ・セーター・下着類,-1.7,%
前月比・前年比・前年度比,1987年2月,全国,0090 シャツ・セーター類,-2.5,%
前月比・前年比・前年度比,1987年2月,全国,0091 男子用シャツ・セーター類,-2.4,%
前月比・前年比・前年度比,1987年2月,全国,5202 ワイシャツ,0.1,%
前月比・前年比・前年度比,1987年2月,全国,5211 男子用スポーツシャツ（長袖）,-1.4,%
前月比・前年比・前年度比,1987年2月,全国,5212 男子用スポーツシャツ（半袖）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,5221 男子用セーター,-5.3,%
前月比・前年比・前年度比,1987年2月,全国,0092 婦人用シャツ・セーター類,-2.6,%
前月比・前年比・前年度比,1987年2月,全国,5231 ブラウス（長袖）,2.4,%
前月比・前年比・前年度比,1987年2月,全国,5232 ブラウス（半袖）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,5233 婦人用Ｔシャツ（長袖）,-0.8,%
前月比・前年比・前年度比,1987年2月,全国,5234 婦人用Ｔシャツ（半袖）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,5241 婦人用セーター（長袖）,-8.3,%
前月比・前年比・前年度比,1987年2月,全国,5242 婦人用セーター（半袖）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0093 子供用シャツ・セーター類,-1.8,%
前月比・前年比・前年度比,1987年2月,全国,5243 子供用Ｔシャツ（長袖）,-2.8,%
前月比・前年比・前年度比,1987年2月,全国,5244 子供用Ｔシャツ（半袖）,0.0,%
前月比・前年比・前年度比,1987年2月,全国,0094 下着類,-0.3,%
前月比・前年比・前年度比,1987年2月,全国,0095 男子用下着類,-0.9,%
前月比・前年比・前年度比,1987年2月,全国,5301 男子用シャツ（半袖）,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,5311 男子用パンツ,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,5331 男子用パジャマ,-3.0,%
前月比・前年比・前年度比,1987年2月,全国,0096 婦人用下着類,0.1,%
前月比・前年比・前年度比,1987年2月,全国,5341 ブラジャー,0.0,%
前月比・前年比・前年度比,1987年2月,全国,5351 婦人用ショーツ,-0.1,%
前月比・前年比・前年度比,1987年2月,全国,5361 ランジェリー,0.5,%
前月比・前年比・前年度比,1987年2月,全国,0097 子供用下着類,0.0,%
前月比・前年比・前年度比,1987年2月,全国,5372 子供用下着,0.0,%
